community,n_elements,n_right_questions,std_n_right_questions,n_submissions,std_n_submissions,n_wrong,std_n_wrong,n_right,std_n_right,mean_question_times,std_mean_question_times
0,1,"14,0",,"18,0",,"4,0",,"14,0",,"1002,9285714285714",
1,12,"38,5","4,1887294667302815","56,0","8,045326141759123","17,5","7,833494518006403","38,5","4,1887294667302815","1010,9565261217512","228,1643302695993"
2,1,"9,0",,"12,0",,"3,0",,"9,0",,"1344,6666666666667",
3,2,"4,0","0,0","13,5","3,5355339059327378","9,5","3,5355339059327378","4,0","0,0","1898,125","363,2761088345888"
4,1,"27,0",,"64,0",,"37,0",,"27,0",,"1213,7777777777778",
5,28,"21,928571428571427","5,220533330414455","42,285714285714285","18,291583052923837","20,357142857142858","16,84617614753125","21,928571428571427","5,220533330414455","1613,9307851475935","357,8144439636117"
6,1,"6,0",,"12,0",,"6,0",,"6,0",,"2223,3333333333335",
7,1,"2,0",,"36,0",,"34,0",,"2,0",,"2798,0",
8,2,"10,0","0,0","28,0","2,8284271247461903","18,0","2,8284271247461903","10,0","0,0","2385,1000000000004","45,537676708413564"
9,1,"0,0",,"3,0",,"3,0",,"0,0",,,
10,1,"4,0",,"4,0",,"0,0",,"4,0",,"1348,5",
11,1,"9,0",,"15,0",,"6,0",,"9,0",,"1735,6666666666667",
12,1,"1,0",,"2,0",,"1,0",,"1,0",,"4690,0",
13,1,"4,0",,"8,0",,"4,0",,"4,0",,"2702,25",
14,1,"17,0",,"25,0",,"8,0",,"17,0",,"1284,8235294117646",
15,1,"2,0",,"6,0",,"4,0",,"2,0",,"2799,0",
16,1,"3,0",,"7,0",,"4,0",,"3,0",,"1977,3333333333333",
