Ano,Comunidade,# Estudantes,student_ids,mean_n_submissions,std_n_submissions,# Submissões,mean_n_right,std_n_right,# Submissões Corretas,mean_n_wrong,std_n_wrong,# Submissões Incorretas,mean_mean_question_times,std_mean_question_times,# Tempo Médio de Resolução (min)
2018,0,14,"[1, 3, 6, 9, 19, 22, 26, 31, 33, 38, 43, 45, 51, 53]","55,14","8,41","55,14 \pm 8,41","37,14","5,04","37,14 \pm 5,04","18,00","8,98","18 \pm 8,98","1.053,20","231,41","17,55 \pm 3,86"
2018,1,19,"[4, 5, 7, 10, 12, 15, 18, 21, 24, 25, 34, 35, 36, 44, 48, 49, 52, 56, 57]","43,58","12,96","43,58 \pm 12,96","23,89","3,49","23,89 \pm 3,49","19,68","11,96","19,68 \pm 11,96","1.540,73","310,71","25,68 \pm 5,18"
2018,2,2,"[27, 55]","13,50","2,50","13,5 \pm 2,5","4,00","0,00",4 \pm 0,"9,50","2,50","9,5 \pm 2,5","1.898,13","256,88","31,64 \pm 4,28"
2018,3,2,"[47, 50]","28,00","2,00",28 \pm 2,"10,00","0,00",10 \pm 0,"18,00","2,00",18 \pm 2,"2.385,10","32,20","39,75 \pm 0,54"
2018,4,8,"[11, 28, 30, 32, 39, 40, 41, 54]","37,38","26,08","37,38 \pm 26,08","16,13","3,14","16,13 \pm 3,14","21,25","24,26","21,25 \pm 24,26","1.766,53","435,31","29,44 \pm 7,26"
2018,5,12,"[2, 8, 13, 14, 16, 20, 29, 37, 42, 46, 58, 59]","12,25","9,63","12,25 \pm 9,63","5,92","5,11","5,92 \pm 5,11","6,33","8,58","6,33 \pm 8,58",,,0 \pm 0
2019,0,2,"[15, 49]","29,00","3,00",29 \pm 3,"16,00","1,00",16 \pm 1,"13,00","2,00",13 \pm 2,"1.835,93","272,93","30,6 \pm 4,55"
2019,1,15,"[2, 10, 16, 24, 26, 28, 32, 33, 35, 36, 38, 41, 42, 43, 45]","59,27","7,06","59,27 \pm 7,06","40,87","4,83","40,87 \pm 4,83","18,40","7,57","18,4 \pm 7,57","1.011,64","241,52","16,86 \pm 4,03"
2019,2,3,"[14, 20, 48]","21,00","2,94","21 \pm 2,94","10,67","0,47","10,67 \pm 0,47","10,33","2,49","10,33 \pm 2,49","1.664,44","393,59","27,74 \pm 6,56"
2019,3,22,"[3, 4, 5, 6, 8, 9, 12, 13, 17, 21, 22, 23, 25, 27, 29, 30, 34, 39, 40, 44, 51, 56]","46,91","9,80","46,91 \pm 9,8","27,41","2,44","27,41 \pm 2,44","19,50","10,15","19,5 \pm 10,15","1.360,03","218,09","22,67 \pm 3,63"
2019,4,8,"[7, 18, 37, 46, 50, 54, 55, 58]","32,88","18,06","32,88 \pm 18,06","17,38","3,00","17,38 \pm 3","15,50","15,78","15,5 \pm 15,78","2.063,17","564,00","34,39 \pm 9,4"
2019,5,9,"[0, 1, 11, 19, 31, 47, 52, 53, 57]","20,11","7,64","20,11 \pm 7,64","10,67","4,08","10,67 \pm 4,08","9,44","5,31","9,44 \pm 5,31","2.111,88","896,93","35,2 \pm 14,95"
2021,0,13,"[0, 5, 14, 17, 18, 19, 21, 24, 28, 29, 35, 37, 38]","68,38","17,74","68,38 \pm 17,74","42,62","3,75","42,62 \pm 3,75","25,77","18,11","25,77 \pm 18,11","996,89","158,15","16,61 \pm 2,64"
2021,1,3,"[11, 13, 41]","20,67","2,87","20,67 \pm 2,87","11,00","0,82","11 \pm 0,82","9,67","3,40","9,67 \pm 3,4","1.294,26","311,30","21,57 \pm 5,19"
2021,2,10,"[2, 6, 7, 8, 9, 10, 26, 33, 39, 43]","50,70","7,81","50,7 \pm 7,81","29,90","3,53","29,9 \pm 3,53","20,80","9,36","20,8 \pm 9,36","1.228,15","266,74","20,47 \pm 4,45"
2021,3,2,"[27, 44]","10,50","5,50","10,5 \pm 5,5","3,50","0,50","3,5 \pm 0,5","7,00","5,00",7 \pm 5,"2.354,96","517,29","39,25 \pm 8,62"
2021,4,2,"[4, 30]","35,00","0,00",35 \pm 0,"17,00","0,00",17 \pm 0,"18,00","0,00",18 \pm 0,"1.768,44","215,74","29,47 \pm 3,6"
2021,5,3,"[20, 31, 45]","10,00","2,16","10 \pm 2,16","5,00","0,00",5 \pm 0,"5,00","2,16","5 \pm 2,16","2.681,73","542,60","44,7 \pm 9,04"
2021,6,13,"[1, 3, 15, 16, 22, 23, 25, 32, 36, 40, 42, 47, 49]","22,62","13,00","22,62 \pm 13","10,15","7,29","10,15 \pm 7,29","12,46","6,61","12,46 \pm 6,61",,,0 \pm 0
2022,0,16,"[3, 6, 8, 11, 13, 16, 18, 19, 30, 31, 33, 34, 37, 38, 40, 54]","45,19","7,06","45,19 \pm 7,06","29,63","3,35","29,63 \pm 3,35","15,56","5,81","15,56 \pm 5,81","1.445,64","233,20","24,09 \pm 3,89"
