,community,n_students,student_ids,std_n_right_questions,mean_n_submissions,std_n_submissions,n_students_right,n_submissions_right,p_submissions_right,mean_mean_question_times,std_mean_question_times,year
0,0,14,"[1, 3, 6, 9, 19, 22, 26, 31, 33, 38, 43, 45, 51, 53]","5,040651075536386","55,142857142857146","8,407965125464091",14,"37,142857142857146","67,36","1053,2025520239688","231,4146239557348",2018
1,1,19,"[4, 5, 7, 10, 12, 15, 18, 21, 24, 25, 34, 35, 36, 44, 48, 49, 52, 56, 57]","3,4927705311656965","43,578947368421055","12,958702783818108",19,"23,894736842105264","54,83","1540,7300493432338","310,7087086685879",2018
2,2,2,"[27, 55]","0,0","13,5","2,5",2,"4,0","29,63","1898,125","256,875",2018
3,3,2,"[47, 50]","0,0","28,0","2,0",2,"10,0","35,71","2385,1000000000004","32,200000000000045",2018
4,4,8,"[11, 28, 30, 32, 39, 40, 41, 54]","3,1399641717701177","37,375","26,081303169128645",8,"16,125","43,14","1766,533198051948","435,3146399894785",2018
5,5,12,"[2, 8, 13, 14, 16, 20, 29, 37, 42, 46, 58, 59]","4,99752004613991","12,25","9,627434756984853",11,"6,454545454545454","49,31","2172,3941303794245","1006,9265445186476",2018
0,0,2,"[15, 49]","1,0","29,0","3,0",2,"16,0","55,17","1835,9333333333332","272,9333333333334",2019
1,1,15,"[2, 10, 16, 24, 26, 28, 32, 33, 35, 36, 38, 41, 42, 43, 45]","4,828618389928485","59,266666666666666","7,056596598612929",15,"40,86666666666667","68,95","1011,637272936749","241,5211036617895",2019
2,2,3,"[14, 20, 48]","0,4714045207910317","21,0","2,943920288775949",3,"10,666666666666666","50,79","1664,442424242424","393,5933201557898",2019
3,3,22,"[3, 4, 5, 6, 8, 9, 12, 13, 17, 21, 22, 23, 25, 27, 29, 30, 34, 39, 40, 44, 51, 56]","2,44315539097758","46,90909090909091","9,79753721795381",22,"27,40909090909091","58,43","1360,0263091195204","218,0910085099341",2019
4,4,8,"[7, 18, 37, 46, 50, 54, 55, 58]","2,9973947020704497","32,875","18,05849869175176",8,"17,375","52,85","2063,1742311507933","564,0001941043772",2019
5,5,9,"[0, 1, 11, 19, 31, 47, 52, 53, 57]","4,08248290463863","20,11111111111111","7,636817901084258",9,"10,666666666666666","53,04","2111,88142023191","896,929150203323",2019
0,0,13,"[0, 5, 14, 17, 18, 19, 21, 24, 28, 29, 35, 37, 38]","3,752711051584759","68,38461538461539","17,744071432619887",13,"42,61538461538461","62,32","996,8869399972534","158,1522945465424",2021
1,1,3,"[11, 13, 41]","0,816496580927726","20,666666666666668","2,867441755680876",3,"11,0","53,23","1294,2555555555557","311,2969956587645",2021
2,2,10,"[2, 6, 7, 8, 9, 10, 26, 33, 39, 43]","3,5341194094144583","50,7","7,810889834071404",10,"29,9","58,97","1228,147715857329","266,7446052868523",2021
3,3,2,"[27, 44]","0,5","10,5","5,5",2,"3,5","33,33","2354,958333333333","517,2916666666666",2021
4,4,2,"[4, 30]","0,0","35,0","0,0",2,"17,0","48,57","1768,4411764705883","215,73529411764707",2021
5,5,3,"[20, 31, 45]","0,0","10,0","2,160246899469287",3,"5,0","50,0","2681,733333333333","542,6001924888055",2021
6,6,13,"[1, 3, 15, 16, 22, 23, 25, 32, 36, 40, 42, 47, 49]","6,381792281739725","22,615384615384617","13,000227581075777",11,"12,0","45,52","1959,0622784468849","691,7675390218208",2021
0,0,16,"[3, 6, 8, 11, 13, 16, 18, 19, 30, 31, 33, 34, 37, 38, 40, 54]","3,3517719194479807","45,1875","7,055306070610969",16,"29,625","65,56","1445,6380671155755","233,2037051567332",2022
1,1,13,"[0, 4, 7, 17, 20, 22, 27, 28, 32, 35, 45, 49, 50]","3,4896296068350017","61,61538461538461","13,814922041253697",13,"41,76923076923077","67,79","993,8298290215984","142,78978981274443",2022
2,2,11,"[9, 15, 21, 23, 24, 25, 29, 42, 43, 47, 51]","1,8586407545691703","32,18181818181818","4,281422487024225",11,"21,0","65,25","1670,0327566280655","226,3345456102177",2022
3,3,12,"[1, 2, 5, 12, 14, 26, 36, 41, 44, 48, 52, 53]","5,82141639885766","21,58333333333333","11,514182076417278",12,"12,666666666666666","58,69","1955,2710833426308","748,7261063276068",2022
0,0,14,"[2, 3, 10, 11, 19, 23, 24, 26, 27, 28, 35, 38, 50, 54]","4,043765672776617","62,85714285714285","7,079720967636496",14,"44,92857142857143","71,48","925,4748903037664","171,74241492891383",2023
1,1,11,"[14, 17, 18, 30, 36, 37, 39, 41, 42, 48, 49]","2,442732516826255","58,72727272727273","8,203002876894967",11,"34,81818181818182","59,29","1217,281854508179","175,0560151872919",2023
2,2,13,"[0, 1, 4, 9, 15, 22, 29, 32, 43, 44, 46, 47, 58]","2,240033812086313","41,69230769230769","6,329231517145911",13,"25,53846153846154","61,25","1359,3542569574352","265,77127560294434",2023
3,3,4,"[16, 33, 34, 51]","0,82915619758885","26,25","5,717298313014636",4,"15,75","60,0","2333,538112745098","176,48108011103005",2023
4,4,2,"[21, 52]","0,5","17,0","4,0",2,"7,5","44,12","2864,75","6,75",2023
5,5,2,"[6, 12]","1,5","44,0","4,0",2,"30,5","69,32","1116,2036637931035","125,14116379310347",2023
6,6,14,"[5, 7, 8, 13, 20, 25, 31, 40, 45, 55, 56, 57, 59, 60]","7,193850101992731","21,857142857142858","11,587290715367809",13,"11,692307692307692","50,17","2511,25057817999","1147,4577164386292",2023
