Ano,Comunidade,s_com,# Estudantes,mean_n_submissions,std_n_submissions,# Submissões,n_students_right,# Estudantes s/ Sub. Corretas,n_submissions_right,p_submissions_right,# Sub. Corretas,mean_mean_question_times,std_mean_question_times,# Tempo Médio de Resolução (min)
2018,2,0,2,"13,5","2,5","13,5 $\pm$ 2,5",2,0,4,"29,63","4 (29,63\%)","1898,125","256,875","31,64 $\pm$ 4,28"
2018,3,0,2,28,2,28 $\pm$ 2,2,0,10,"35,71","10 (35,71\%)","2385,1","32,2","39,75 $\pm$ 0,54"
2018,4,0,8,"37,375","26,0813031691286","37,38 $\pm$ 26,08",8,0,"16,125","43,14","16,13 (43,14\%)","1766,53319805195","435,314639989479","29,44 $\pm$ 7,26"
2018,1,0,19,"43,5789473684211","12,9587027838181","43,58 $\pm$ 12,96",19,0,"23,8947368421053","54,83","23,89 (54,83\%)","1540,73004934323","310,708708668588","25,68 $\pm$ 5,18"
2018,0,0,14,"55,1428571428571","8,40796512546409","55,14 $\pm$ 8,41",14,0,"37,1428571428571","67,36","37,14 (67,36\%)","1053,20255202397","231,414623955735","17,55 $\pm$ 3,86"
2018,5,1,12,"12,25","9,62743475698485","12,25 $\pm$ 9,63",11,1,"6,45454545454545","49,31","6,45 (49,31\%)","2172,39413037942","1006,92654451865","36,21 $\pm$ 16,78"
2019,2,2,3,21,"2,94392028877595","21 $\pm$ 2,94",3,0,"10,6666666666667","50,79","10,67 (50,79\%)","1664,44242424242","393,59332015579","27,74 $\pm$ 6,56"
2019,4,2,8,"32,875","18,0584986917518","32,88 $\pm$ 18,06",8,0,"17,375","52,85","17,38 (52,85\%)","2063,17423115079","564,000194104377","34,39 $\pm$ 9,4"
2019,0,2,2,29,3,29 $\pm$ 3,2,0,16,"55,17","16 (55,17\%)","1835,93333333333","272,933333333333","30,6 $\pm$ 4,55"
2019,3,2,22,"46,9090909090909","9,79753721795381","46,91 $\pm$ 9,8",22,0,"27,4090909090909","58,43","27,41 (58,43\%)","1360,02630911952","218,091008509934","22,67 $\pm$ 3,63"
2019,1,2,15,"59,2666666666667","7,05659659861293","59,27 $\pm$ 7,06",15,0,"40,8666666666667","68,95","40,87 (68,95\%)","1011,63727293675","241,52110366179","16,86 $\pm$ 4,03"
2019,5,3,9,"20,1111111111111","7,63681790108426","20,11 $\pm$ 7,64",9,0,"10,6666666666667","53,04","10,67 (53,04\%)","2111,88142023191","896,929150203323","35,2 $\pm$ 14,95"
