year,community,n_students,student_ids,question_ids
2018,0,14,"[1, 3, 6, 9, 19, 22, 26, 31, 33, 38, 43, 45, 51, 53]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 67, 71, 72, 73, 74, 82, 99, 101, 104, 107]"
2018,1,19,"[4, 5, 7, 10, 12, 15, 18, 21, 24, 25, 34, 35, 36, 44, 48, 49, 52, 56, 57]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 47, 54, 55, 57, 60, 61, 62, 63, 73, 74, 82, 99, 101, 107]"
2018,2,2,"[27, 55]","[1, 2, 3, 4, 82]"
2018,3,2,"[47, 50]","[1, 2, 4, 5, 7, 8, 14, 18, 55, 31, 62, 63]"
2018,4,8,"[11, 28, 30, 32, 39, 40, 41, 54]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 31, 33, 34, 35, 36, 42, 43, 44, 47, 54, 55, 61, 62, 63, 73, 74, 82, 99]"
2018,5,12,"[2, 8, 13, 14, 16, 20, 29, 37, 42, 46, 58, 59]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 45, 47, 54, 55, 57, 61, 62, 63, 73, 74, 82, 101, 104, 107]"
2019,0,2,"[15, 49]","[0, 1, 2, 3, 4, 7, 14, 18, 31, 32, 34, 36, 43, 44, 47, 55, 56, 62, 63, 73]"
2019,1,15,"[2, 10, 16, 24, 26, 28, 32, 33, 35, 36, 38, 41, 42, 43, 45]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 70, 71, 72, 73, 74, 82, 83, 93, 94, 101, 104]"
2019,2,3,"[14, 20, 48]","[0, 1, 2, 3, 4, 5, 34, 7, 8, 9, 43, 14, 18, 82, 24]"
2019,3,22,"[3, 4, 5, 6, 8, 9, 12, 13, 17, 21, 22, 23, 25, 27, 29, 30, 34, 39, 40, 44, 51, 56]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 54, 55, 56, 60, 61, 62, 63, 70, 71, 73, 74, 82, 83, 94, 101]"
2019,4,8,"[7, 18, 37, 46, 50, 54, 55, 58]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 22, 31, 32, 33, 34, 35, 36, 39, 43, 47, 49, 54, 55, 56, 60, 61, 62, 63, 73, 82, 83, 94]"
2019,5,9,"[0, 1, 11, 19, 31, 47, 52, 53, 57]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 47, 49, 54, 60, 61, 62, 63, 71, 73, 82, 94, 101]"
