student_id,exercise_ids,solving_times,results,community
0,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 34, 36]","[3586, 1736, 1341, 2521, 2973, 1605, 976, 6002, 5489, 5747, 2341, 1153, 2063, 2022, 1241, 3512, 3459]","[False, True, True, False, True, True, True, True, True, True, False, False, True, True, True, True, True, False, True, False, False, True, True, True, False]",5
1,"[7, 31, 32, 34, 35, 43]","[3046, 1933, 1864, 3755, 6414, 4177]","[True, True, True, True, True, False, True]",5
2,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 44, 47, 49, 54, 55, 60, 61, 62, 63, 64, 73, 82, 83, 94]","[3369, 1672, 892, 2706, 2066, 1178, 653, 4620, 3307, 5074, 2513, 704, 5229, 737, 684, 3418, 1551, 1868, 1954, 4821, 4339, 2844, 922, 4799, 1730, 2832, 1884, 2853, 3723, 2314, 2841, 1477, 5838, 2948, 5732, 3359, 4666]","[True, False, True, True, True, True, True, True, False, False, False, True, False, True, False, True, True, True, False, False, False, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, True, True, False, True]",4
3,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 41, 42, 43, 47, 49, 60, 62, 63, 82, 83, 101]","[2512, 479, 249, 1901, 791, 769, 295, 5107, 5523, 5325, 1385, 1069, 3916, 2156, 1942, 650, 4422, 2704, 3314, 1759, 3732, 2957, 5760, 1586, 2839, 3938, 5514, 4120, 3462, 4546, 5647, 5450]","[True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, False, False, True, False, False, True, False, True, True]",3
4,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 31, 33, 34, 35, 49, 54, 55, 60, 61, 62, 63, 82, 83]","[4159, 2600, 1341, 3486, 2699, 1964, 883, 4118, 3600, 4433, 2636, 829, 4925, 481, 6395, 1459, 1131, 1888, 2183, 3742, 5400, 4872, 5045, 1377, 4026, 2186]","[True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, False, True, True, False, False, False, True, True, True, False, False, False, False, True, False, False, False, True, False, True, True, False]",3
5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 32, 36, 39, 41, 42, 43, 44, 47, 54, 55, 63, 73, 82, 83, 94]","[3380, 1583, 1061, 2385, 2533, 962, 904, 3479, 2357, 3162, 1567, 562, 4987, 2050, 618, 1093, 2662, 2132, 1522, 366, 3763, 1177, 2459, 2393, 743, 3290, 3528, 1394, 3108]","[True, True, False, True, True, True, False, False, True, True, True, True, False, False, True, False, False, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False, True, True, False, True, True, True]",3
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 31, 32, 33, 34, 35, 36, 39, 41, 49, 60, 61, 62, 63, 82, 83]","[3610, 3129, 3116, 3157, 3144, 2030, 1271, 4778, 3841, 5844, 2763, 1325, 5839, 6120, 5890, 5852, 5866, 6272, 5614, 5597, 5878, 5844, 5818, 5829, 5962, 2483, 4424]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, False, False, True, True, False, True, True, True, True]",3
7,"[1, 2, 4, 5, 7, 14, 18, 31, 32, 34, 35, 36, 43, 47, 54, 63]","[4121, 2893, 5754, 3501, 2310, 4755, 4548, 3267, 1001, 4738, 5978, 3486, 1336, 3881, 3799, 3791]","[False, True, True, False, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False]",0
8,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 32, 33, 34, 35, 36, 39, 41, 49, 54, 55, 61, 62, 63, 73, 82, 94]","[1802, 915, 3638, 2388, 1743, 478, 4446, 3263, 4953, 3616, 4444, 6403, 5113, 532, 639, 3819, 2271, 2655, 2030, 3938, 3465, 3025, 3512, 5299, 4667, 5472, 2138, 4505, 5053, 5244]","[True, True, True, True, True, False, True, False, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, True, False, False, True, True, True, False, False, True, True]",3
9,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 31, 33, 34, 35, 42, 43, 44, 46, 47, 49, 54, 55, 61, 62, 63]","[2940, 3795, 3401, 4137, 3811, 1395, 961, 4847, 4166, 5538, 2675, 408, 1891, 3051, 1071, 1544, 984, 3709, 5422, 1947, 1486, 2263, 3153, 2853, 3681, 888]","[False, False, False, False, True, False, False, False, True, False, True, True, False, True, False, False, False, True, True, False, False, True, False, True, True, False, True, True, False, False, True, False, True, True, False, True, True, True, True, False, False, True, False, False, True, True, True, False, False, False, False, True, True, True, False, False, False]",3
