filtering_parameter,n_edges,modularity,criterion
"0,0",940,"0,030442204704511575","7,137481800218552"
"0,05",937,"0,030580464283460077","7,137481800218552"
"0,1",873,"0,03698350720687983","7,137481800218552"
"0,15000000000000002",774,"0,04748221348305505","7,137481800218552"
"0,2",713,"0,04880997805100206","6,615005839857269"
"0,25",647,"0,05232603711648487","6,803489131551726"
"0,30000000000000004",563,"0,06504177526491481","7,137481800218552"
"0,35000000000000003",501,"0,0837836226973212","7,465522941568079"
"0,4",446,"0,0777255727162722","6,803489131551726"
"0,45",382,"0,08127041361854925","6,014575633620872"
"0,5",338,"0,07725558324206346","5,106894636015789"
"0,55",286,"0,07107850473230319","4,74662873970612"
"0,6000000000000001",244,"0,08911213917082929","4,728902800066183"
"0,65",204,"0,1080538600150076","4,140657072928498"
"0,7000000000000001",153,"0,14741540182596008","3,965262700794939"
"0,75",125,"0,15520477102821983","4,956686301833053"
"0,8",82,"0,13197885216244237","5,4908557665130795"
"0,8500000000000001",33,"0,27391022174148194","6,9779772837500476"
"0,9",10,"0,5641040789547328","10,040197855593197"
