year,student_id,community,community_letter,in_pseudocommunity,edge_weights,n_solved_exercises,solved_exercise_ids,solving_times,n_tried_exercises,tried_exercise_ids,trying_times,results,n_attemps,mean_edge_weights,mean_solving_times
2018,4,0,A,False,"[24, 17, 25, 23, 17, 17, 24, 22, 18, 19, 17, 23, 26, 18, 21, 17, 24, 17, 26, 18, 25, 17, 18]",26,"[0, 1, 2, 3, 4, 5, 7, 18, 24, 31, 33, 34, 35, 36, 42, 43, 44, 47, 54, 55, 60, 62, 63, 73, 74, 107]","[34.13333333333333, 4.483333333333333, 9.366666666666667, 17.55, 7.05, 30.98333333333333, 18.700000000000003, 51.71666666666667, 38.23333333333333, 11.25, 27.933333333333334, 9.05, 11.083333333333334, 36.83333333333333, 20.05, 13.3, 45.0, 18.816666666666663, 15.0, 43.13333333333334, 7.366666666666666, 31.983333333333334, 50.65, 21.5, 15.05, 41.516666666666666]",6,"[9, 10, 14, 72, 82, 101]","[11.5, 5.15, 24.53333333333333, 65.4, 14.433333333333334, 3.3833333333333333]","[False, True, True, True, False, True, False, True, False, True, True, False, False, False, False, False, False, False, False, True, True, False, False, True, True, True, False, False, True, True, False, True, False, False, True, True, False, True, True, True, False, False, True, False, False, True, False, True, True, True, True, False, False]",53,"20,565217391304348","24,297435897435896"
2018,5,0,A,False,"[24, 20, 26, 24, 19, 27, 25, 22, 26, 26, 28, 22, 24, 19, 27, 19, 28, 19, 27, 20, 21]",29,"[0, 1, 2, 3, 4, 5, 7, 8, 14, 18, 31, 33, 34, 35, 36, 38, 42, 43, 44, 47, 54, 55, 61, 62, 63, 73, 74, 101, 107]","[10.3, 17.233333333333334, 18.23333333333333, 8.116666666666667, 9.85, 34.65, 16.333333333333332, 16.833333333333332, 23.633333333333333, 54.46666666666667, 7.366666666666666, 17.666666666666668, 11.533333333333331, 19.383333333333333, 22.48333333333333, 28.316666666666663, 32.85, 6.45, 25.9, 43.083333333333336, 35.78333333333333, 12.983333333333333, 48.91666666666666, 7.45, 23.4, 20.0, 15.916666666666666, 23.666666666666668, 55.81666666666667]",0,[],[],"[True, False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",32,"23,476190476190474","23,055747126436778"
2018,7,0,A,False,"[17, 20, 20, 19, 18, 20, 16, 15, 17, 18, 15, 16, 18, 15]",23,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 24, 31, 33, 34, 35, 36, 38, 43, 54, 55, 101]","[8.7, 4.733333333333333, 25.233333333333334, 8.0, 5.95, 15.516666666666666, 2.2333333333333334, 13.45, 17.9, 4.35, 8.85, 37.45, 51.23333333333333, 10.2, 7.283333333333333, 7.616666666666667, 5.616666666666666, 7.9, 25.1, 12.55, 21.83333333333333, 10.716666666666669, 14.983333333333333]",2,"[47, 57]","[21.75, 27.2]","[False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, False, True, True, True, False, True, True, True, True, True, True, False]",29,"17,428571428571427","14,234782608695651"
2018,10,0,A,False,"[27, 24, 23, 24, 20, 30, 21, 22, 25, 30, 22, 30, 20, 21, 27, 26, 26, 22, 23, 20, 28, 27, 29, 21, 29, 21]",30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 24, 31, 33, 34, 35, 36, 42, 43, 45, 47, 54, 55, 60, 61, 62, 63, 73, 82, 99]","[17.1, 13.383333333333333, 18.933333333333334, 8.766666666666667, 8.483333333333333, 15.166666666666664, 15.416666666666666, 31.883333333333333, 20.466666666666665, 24.866666666666664, 18.716666666666665, 22.216666666666665, 7.083333333333333, 3.8333333333333335, 16.3, 1.8666666666666667, 52.93333333333333, 20.73333333333333, 13.483333333333333, 23.7, 40.68333333333333, 31.216666666666665, 18.683333333333334, 24.65, 34.68333333333334, 8.416666666666666, 23.616666666666667, 64.21666666666667, 15.65, 31.183333333333334]",1,[107],[24.666666666666668],"[True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, False, True, True, False, True, False, False, False, False, False, False, False, True, False, True, False, False, False, True, True, True, True]",48,"24,53846153846154","21,61111111111111"
2018,12,0,A,False,"[17, 19, 19, 21, 21, 19, 16, 15, 18, 16, 15, 18, 15]",22,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 31, 33, 34, 35, 36, 54, 55, 62, 63, 99]","[2.1166666666666667, 22.299999999999997, 11.15, 15.083333333333332, 6.133333333333334, 11.95, 5.883333333333334, 14.4, 20.433333333333334, 8.600000000000001, 25.183333333333334, 6.683333333333334, 17.683333333333334, 21.933333333333334, 30.183333333333334, 19.216666666666665, 13.733333333333333, 40.63333333333333, 55.08333333333333, 22.916666666666668, 31.28333333333333, 71.88333333333334]",4,"[22, 58, 60, 82]","[23.066666666666663, 11.883333333333333, 35.0, 6.35]","[True, False, True, False, True, True, True, True, False, False, True, True, False, False, True, True, False, True, True, False, False, True, False, False, False, True, False, False, True, False, False, True, True, False, True, False, True, True, True, True, False, False, False]",43,"17,615384615384617","21,566666666666666"
2018,15,0,A,False,"[17, 18, 22, 22, 19, 17, 16, 17, 18, 16, 18]",24,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 18, 22, 24, 31, 33, 35, 36, 42, 43, 62, 63, 82, 99]","[12.35, 0.1833333333333333, 28.416666666666668, 6.083333333333333, 7.25, 8.7, 35.81666666666667, 3.566666666666667, 6.75, 2.45, 14.333333333333334, 18.433333333333334, 36.15, 15.733333333333333, 20.85, 60.05, 13.95, 12.15, 56.35, 29.58333333333333, 77.38333333333334, 0.4, 5.033333333333333, 24.316666666666663]",0,[],[],"[True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, False, True, True, True, True]",29,"18,181818181818183","20,678472222222222"
2018,18,0,A,False,"[27, 24, 24, 27, 20, 27, 25, 23, 21, 26, 27, 28, 22, 25, 20, 28, 20, 29, 27, 21, 28, 21]",30,"[0, 1, 2, 3, 4, 5, 7, 9, 14, 18, 31, 33, 34, 35, 36, 38, 39, 42, 43, 44, 47, 54, 55, 60, 61, 62, 63, 73, 74, 101]","[17.35, 5.883333333333333, 17.016666666666666, 14.883333333333333, 5.05, 19.016666666666666, 17.833333333333332, 17.15, 36.78333333333333, 58.333333333333336, 13.266666666666666, 11.133333333333333, 8.5, 7.116666666666666, 11.2, 18.23333333333333, 6.283333333333333, 16.7, 10.65, 43.11666666666667, 24.7, 25.73333333333333, 30.433333333333334, 33.983333333333334, 27.766666666666666, 7.183333333333334, 38.800000000000004, 38.55, 33.5, 32.81666666666667]",2,"[8, 41]","[51.65, 72.99999999999999]","[False, False, False, True, False, True, True, True, True, True, False, False, False, True, False, False, False, False, False, True, False, True, False, True, True, True, True, False, False, True, True, True, False, False, False, False, True, True, True, True, True, False, True, True, False, False, False, False, True, False, False, False, True, True, True, True, False, True, False, True]",60,"24,545454545454547","21,63222222222222"
2018,21,0,A,False,"[22, 25, 24, 22, 23, 20, 18, 18, 24, 25, 20, 21, 19, 24, 17, 18, 17, 25, 17, 25, 19, 20]",26,"[0, 1, 2, 3, 4, 5, 7, 8, 18, 31, 34, 35, 38, 42, 43, 44, 47, 54, 55, 61, 62, 63, 73, 74, 82, 107]","[10.083333333333334, 3.0666666666666664, 47.36666666666667, 23.083333333333332, 12.5, 10.066666666666666, 7.183333333333334, 31.383333333333336, 22.4, 14.466666666666669, 11.133333333333333, 11.933333333333334, 54.6, 37.2, 7.916666666666667, 21.35, 24.8, 22.633333333333333, 14.2, 22.716666666666665, 8.816666666666666, 26.266666666666666, 60.583333333333336, 30.833333333333336, 72.56666666666666, 23.75]",4,"[14, 33, 45, 57]","[42.5, 47.150000000000006, 18.183333333333334, 43.98333333333333]","[True, False, True, True, False, True, True, True, True, False, False, True, True, True, True, False, True, True, False, True, True, False, False, False, False, False, True, True, True, False, False, True, True, False, False, False, True, False, False, False, False, True, True, True, True, False, False, False, False, True]",50,"21,045454545454547","24,34230769230769"
2018,24,0,A,False,"[18, 22, 16, 21, 20, 16, 17, 21, 20, 15, 21, 20, 20, 18, 15, 18, 16, 17, 17]",23,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 14, 31, 34, 35, 36, 38, 42, 43, 44, 47, 61, 62, 63, 73]","[18.966666666666665, 7.983333333333333, 24.483333333333334, 20.666666666666668, 3.95, 5.35, 24.1, 100.93333333333334, 32.93333333333333, 11.933333333333334, 13.45, 13.916666666666666, 8.95, 32.733333333333334, 50.25, 3.3, 12.883333333333333, 52.0, 35.88333333333333, 27.116666666666667, 15.033333333333331, 29.616666666666667, 40.05]",1,[60],[37.68333333333334],"[False, False, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, False, False, False, True]",31,"18,31578947368421","25,499275362318837"
2018,25,0,A,False,"[19, 21, 21, 16, 18, 15, 16, 15, 14, 15, 17, 17]",21,"[0, 1, 2, 3, 4, 8, 18, 24, 31, 33, 34, 35, 42, 43, 47, 55, 60, 62, 63, 73, 82]","[12.483333333333333, 10.85, 22.48333333333333, 16.133333333333333, 14.866666666666667, 33.55, 35.4, 31.65, 23.7, 31.33333333333333, 44.05, 3.6166666666666663, 51.0, 7.566666666666666, 36.15, 37.48333333333333, 33.21666666666667, 51.81666666666667, 16.9, 66.01666666666667, 40.53333333333333]",1,[38],[36.599999999999994],"[False, True, True, True, True, True, True, False, True, True, True, True, False, True, True, False, False, True, True, False, True, True, True, False, False, True, True, True, False, True]",30,"17,0","29,56190476190476"
2018,28,0,A,False,"[17, 15, 13, 13, 16]",20,"[5, 7, 9, 14, 18, 31, 33, 34, 35, 36, 42, 43, 44, 47, 54, 55, 62, 63, 73, 82]","[19.466666666666665, 14.833333333333334, 38.23333333333333, 15.866666666666665, 13.766666666666667, 5.9, 21.683333333333334, 13.466666666666669, 9.05, 8.433333333333334, 31.13333333333333, 11.05, 16.55, 11.15, 52.45, 21.48333333333333, 32.75, 18.98333333333333, 44.55, 72.60000000000002]",0,[],[],"[True, True, False, True, True, True, False, False, False, False, False, False, True, True, True, False, False, False, True, True, False, True, True, True, True, True, False, False, True, True, True, True, True]",33,"14,8","23,67"
