Question_id_GIT,contestnumber_BOCA,problemnumber_BOCA
2,14,1
1,14,2
4,14,3
3,14,4
0,14,5
7,15,1
5,15,2
14,15,3
9,15,4
8,15,5
10,15,6
18,16,1
82,16,2
24,16,3
99,16,4
22,16,5
104,16,6
43,17,1
47,17,2
42,17,3
44,17,4
45,17,5
46,17,6
54,18,1
55,18,2
8,18,3
107,18,4
58,18,5
31,22,1
34,22,2
35,22,3
33,22,4
36,22,5
101,22,6
48,23,1
49,23,2
84,23,3
106,23,4
38,25,1
57,25,2
41,25,3
39,25,4
59,25,5
63,26,1
61,26,2
62,26,3
60,26,4
64,26,5
37,26,6
73,27,1
74,27,2
72,27,3
67,27,4
71,27,5
65,28,1
93,28,2
66,28,3
110,28,4
2,30,1
1,30,2
4,30,3
3,30,4
0,30,5
7,31,1
5,31,2
14,31,3
9,31,4
8,31,5
10,31,6
18,32,1
83,32,2
24,32,3
82,32,4
22,32,5
104,32,6
12,33,1
28,33,2
20,33,3
17,33,4
27,33,5
31,34,1
34,34,2
35,34,3
49,34,4
33,34,5
101,34,6
32,35,1
36,35,2
41,35,3
39,35,4
40,35,5
37,35,6
43,36,1
47,36,2
42,36,3
44,36,4
45,36,5
46,36,6
54,37,1
55,37,2
56,37,3
57,37,4
59,37,5
58,37,6
48,38,1
80,38,2
84,38,3
81,38,4
63,39,1
61,39,2
62,39,3
60,39,4
64,39,5
73,41,1
71,41,2
74,41,3
72,41,4
94,42,3
66,42,4
70,42,5
93,42,6
95,43,1
96,43,2
88,43,3
98,43,4
89,43,5
2,59,1
1,59,2
4,59,3
3,59,4
0,59,5
7,60,1
5,60,2
14,60,3
9,60,4
8,60,5
10,60,6
11,63,1
13,63,2
18,63,3
15,63,4
24,63,5
25,64,1
19,64,2
20,64,3
82,64,4
22,64,5
12,65,1
16,65,2
21,65,3
17,65,4
31,66,1
35,66,2
49,66,3
33,66,4
101,66,5
43,67,1
47,67,2
42,67,3
44,67,4
45,67,5
46,67,6
54,68,1
55,68,2
56,68,3
57,68,4
59,68,5
58,68,6
108,69,1
48,69,2
80,69,3
81,69,4
63,70,1
61,70,2
62,70,3
60,70,4
64,70,5
69,71,1
65,71,2
68,71,3
67,71,4
73,72,1
71,72,2
74,72,3
72,72,4
97,73,1
96,73,2
88,73,3
102,73,4
89,73,5
2,77,1
1,77,2
4,77,3
3,77,4
0,77,5
7,78,1
5,78,2
14,78,3
9,78,4
8,78,5
10,78,6
11,79,1
13,79,2
18,79,3
15,79,4
24,79,5
12,80,1
25,80,2
16,80,3
19,80,4
23,80,5
31,81,1
35,81,2
49,81,3
20,81,4
21,81,5
22,81,6
38,82,1
39,82,2
41,82,3
40,82,4
37,82,5
43,83,1
47,83,2
42,83,3
44,83,4
45,83,5
46,83,6
79,84,1
108,84,2
80,84,3
81,84,4
54,85,1
55,85,2
56,85,3
57,85,4
59,85,5
58,85,6
63,86,1
61,86,2
62,86,3
60,86,4
64,86,5
73,87,1
71,87,2
74,87,3
72,87,4
90,88,1
88,88,2
75,88,3
89,88,4
2,1,1
1,1,2
4,1,3
3,1,4
0,1,5
12,2,1
14,2,2
10,2,3
13,2,4
11,2,5
15,2,6
18,3,1
16,3,2
19,3,3
17,3,4
20,4,1
25,4,2
22,4,3
21,4,4
23,4,5
24,4,6
29,5,1
26,5,2
28,5,3
30,5,4
27,5,5
31,6,1
34,6,2
35,6,3
32,6,4
36,6,5
33,6,6
38,7,1
39,7,2
41,7,3
40,7,4
37,7,5
43,8,1
47,8,2
42,8,3
44,8,4
45,8,5
46,8,6
48,9,1
53,9,2
49,9,3
51,9,4
50,9,5
52,9,6
63,10,1
61,10,2
62,10,3
60,10,4
64,10,5
69,11,1
65,11,2
68,11,3
66,11,4
67,11,5
73,12,1
71,12,2
74,12,3
72,12,4
70,12,5
